Model,Variant,Reference,Feature,Variant mean,Reference mean,Diff,Paired d,p,n
ChatGPT,p_A00_para1,v2_empathetic,Length (chars),541.02900966989,495.4714904968323,45.557519173057685,0.6432026662427062,4.125277837427487e-201,2999
ChatGPT,p_A00_para1,v2_empathetic,Sentences,5.135711903967989,4.639213071023675,0.4964988329443148,0.5814835791710545,5.306967751113002e-164,2999
ChatGPT,p_A00_para1,v2_empathetic,VADER compound,0.7811144048016004,0.6037380126708902,0.17737639213071021,0.3934866932561348,7.983960988546414e-110,2999
ChatGPT,p_A00_para1,v2_empathetic,FK grade,9.477392464154718,9.71133711237079,-0.23394464821607203,-0.15142658390581376,2.799662817478189e-16,2999
ChatGPT,p_A00_para1,v2_empathetic,Apology,0.9973324441480493,0.9646548849616539,0.03267755918639546,,3.497855888988012e-24,2999
ChatGPT,p_A00_para1,v2_empathetic,Ownership,0.9639879959986662,0.9806602200733577,-0.016672224074691565,,8.548342922070601e-05,2999
ChatGPT,p_A00_para1,v2_empathetic,Time-bound commitment,0.022340780260086696,0.06135378459486496,-0.03901300433477826,,1.0542698300415469e-16,2999
ChatGPT,p_A00_para1,v2_empathetic,Escalation,0.2960986995665222,0.5088362787595865,-0.21273757919306435,,3.389223259168884e-81,2999
ChatGPT,p_A00_para1,v2_empathetic,Asks for information,0.004334778259419807,0.0053351117039013,-0.0010003334444814939,,0.711071103811264,2999
ChatGPT,p_A00_para1,v2_empathetic,Thanks the customer,0.9293097699233077,0.7762587529176392,0.15305101700566856,,1.907027104139366e-74,2999
ChatGPT,p_A00_para1,v2_empathetic,Leaves a [placeholder],0.9479826608869624,0.4021340446815605,0.5458486162054018,,0.0,2999
ChatGPT,p_A00_para1,v2_empathetic,Markdown,0.0,0.0,0.0,,1.0,2999
ChatGPT,p_A00_para1,v2_empathetic,Hedging,0.022674224741580526,0.020673557852617538,0.0020006668889629878,,0.6426674253796113,2999
ChatGPT,p_A00_para1,v2_empathetic,Promises an outcome,0.0006668889629876625,0.0010003334444814939,-0.00033344448149383126,,1.0,2999
ChatGPT,p_A00_para1,v2_empathetic,All three labels present,0.0,0.0,0.0,,1.0,2999
ChatGPT,p_A00_para2,v2_empathetic,Length (chars),562.02900966989,495.4714904968323,66.55751917305768,0.8934057252409994,0.0,2999
ChatGPT,p_A00_para2,v2_empathetic,Sentences,4.669223074358119,4.639213071023675,0.030010003334444816,0.0348014779220591,0.14060363390234434,2999
ChatGPT,p_A00_para2,v2_empathetic,VADER compound,0.7764880960320105,0.6037380126708902,0.17275008336112038,0.3777376465400672,5.564820144034947e-110,2999
ChatGPT,p_A00_para2,v2_empathetic,FK grade,10.729109703234412,9.711337112370792,1.0177725908636213,0.6387187728422864,1.6246071883857862e-197,2999
