Judge,Model,Criterion,Term,Estimate,SE,p
gpt-4.1,ChatGPT,acknowledgement,A,0.3053691275167729,0.034528989239267435,9.247751159052013e-19
gpt-4.1,ChatGPT,acknowledgement,B,0.6040268456375834,0.03767774849955353,7.71324010608082e-58
gpt-4.1,ChatGPT,acknowledgement,C,-1.1744966442953007,0.04699888189286271,7.875165636265163e-138
gpt-4.1,ChatGPT,acknowledgement,A:B,-0.47315436241610387,0.04927748904390024,7.853294945702469e-22
gpt-4.1,ChatGPT,acknowledgement,A:C,0.9865771812080621,0.05652435989084893,3.2084923727762487e-68
gpt-4.1,ChatGPT,acknowledgement,B:C,0.9664429530201346,0.06056196153262457,2.509554088369959e-57
gpt-4.1,ChatGPT,acknowledgement,A:B:C,-0.8154362416107402,0.07682602457744488,2.563542955495374e-26
gpt-4.1,ChatGPT,concreteness,A,0.6543624161073794,0.04142041265774921,3.208081353465899e-56
gpt-4.1,ChatGPT,concreteness,B,1.6174496644295302,0.03600352927160686,0.0
gpt-4.1,ChatGPT,concreteness,C,-0.6476510067114073,0.038085803633242474,7.534049009213025e-65
gpt-4.1,ChatGPT,concreteness,A:B,-0.5604026845637555,0.051208975764424784,7.143177342729816e-28
gpt-4.1,ChatGPT,concreteness,A:C,0.3959731543624207,0.05163456138617274,1.7366453638077045e-14
gpt-4.1,ChatGPT,concreteness,B:C,0.637583892617448,0.0440019023793815,1.4031322579452217e-47
gpt-4.1,ChatGPT,concreteness,A:B:C,-0.34228187919463265,0.06432070241193279,1.0292160961703993e-07
gpt-4.1,ChatGPT,tone,A,0.0033557046979827004,0.010097008486323012,0.7396276862613701
gpt-4.1,ChatGPT,tone,B,0.013422818791946218,0.008208733815997472,0.10200975117430183
gpt-4.1,ChatGPT,tone,C,-0.4832214765100672,0.029039285114325658,3.5602325281008417e-62
gpt-4.1,ChatGPT,tone,A:B,1.1171619185290638e-15,0.010645166199423496,0.9999999999999163
gpt-4.1,ChatGPT,tone,A:C,0.4865771812080592,0.03019294716140343,1.9826008995569835e-58
gpt-4.1,ChatGPT,tone,B:C,0.4865771812080543,0.02904517722864308,5.436342518066554e-63
gpt-4.1,ChatGPT,tone,A:B:C,-0.48993288590604156,0.03019735493690133,3.3921157688551555e-59
gpt-4.1,ChatGPT,grounding,A,-0.12751677852349066,0.033856710097628535,0.0001656405923672559
gpt-4.1,ChatGPT,grounding,B,-0.046979865771812034,0.02882900512034468,0.10318519123296799
gpt-4.1,ChatGPT,grounding,C,0.09060402684563731,0.019206691757808897,2.38976820239945e-06
gpt-4.1,ChatGPT,grounding,A:B,0.09731543624161026,0.043133006561481356,0.024059927332245518
gpt-4.1,ChatGPT,grounding,A:C,0.10067114093959798,0.0341608451734248,0.0032089962498476196
gpt-4.1,ChatGPT,grounding,B:C,0.0402684563758389,0.028863279865319256,0.16297216254886648
gpt-4.1,ChatGPT,grounding,A:B:C,-0.0838926174496644,0.04527671944285166,0.06389864358351902
gpt-4.1,ChatGPT,overall,A,0.49328859060402086,0.035384022791663465,3.569143022070014e-44
gpt-4.1,ChatGPT,overall,B,0.7885906040268447,0.036826922550527906,1.0016972366083945e-101
gpt-4.1,ChatGPT,overall,C,-0.9194630872483206,0.03839159879916565,9.331305470286301e-127
gpt-4.1,ChatGPT,overall,A:B,-0.4697986577181164,0.04972878741686614,3.47958096756559e-21
gpt-4.1,ChatGPT,overall,A:C,0.8255033557047085,0.04935112993646686,8.313289230021882e-63
gpt-4.1,ChatGPT,overall,B:C,0.8791946308724838,0.04850868110233277,2.0426419569006916e-73
gpt-4.1,ChatGPT,overall,A:B:C,-0.7449664429530235,0.06636110286212865,3.040994431124162e-29
gpt-4.1,ChatGPT,has_placeholder,A,-0.553691275167788,0.03151417619469591,4.211770887129289e-69
gpt-4.1,ChatGPT,has_placeholder,B,-0.7885906040268466,0.02420018994412785,6.447436100537959e-233
gpt-4.1,ChatGPT,has_placeholder,C,-0.8020134228187932,0.023640609068781265,2.8279361445235e-252
gpt-4.1,ChatGPT,has_placeholder,A:B,0.4261744966442945,0.04107376908674181,3.194202705688524e-25
gpt-4.1,ChatGPT,has_placeholder,A:C,0.6107382550335593,0.040514003027761855,2.3743165598703236e-51
gpt-4.1,ChatGPT,has_placeholder,B:C,0.6711409395973166,0.03429194721735479,2.7120419937449316e-85
gpt-4.1,ChatGPT,has_placeholder,A:B:C,-0.5134228187919427,0.04929600600485036,2.1157571815825546e-25
gpt-4.1,ChatGPT,promises_outcome,A,0.03691275167785255,0.02091279672155487,0.07755038219660396
gpt-4.1,ChatGPT,promises_outcome,B,0.023489932885906003,0.019868446433710673,0.23709729310810657
gpt-4.1,ChatGPT,promises_outcome,C,-0.07382550335570462,0.015195332083553403,1.1831841265174242e-06
gpt-4.1,ChatGPT,promises_outcome,A:B,-0.02013422818791926,0.02893433614393062,0.48651692000524405
gpt-4.1,ChatGPT,promises_outcome,A:C,-0.023489932885906305,0.021511552750493306,0.27484705125901343
gpt-4.1,ChatGPT,promises_outcome,B:C,-0.02348993288590607,0.019868446433710687,0.23709729310810568
gpt-4.1,ChatGPT,promises_outcome,A:B:C,0.020134228187919635,0.030086334873792454,0.5033583052465154
gpt-4.1,ChatGPT,admits_liability,A,0.00671140939597312,0.014276663032638182,0.6382860710054115
gpt-4.1,ChatGPT,admits_liability,B,-0.02684563758389267,0.00939265361792017,0.004261153821353345
gpt-4.1,ChatGPT,admits_liability,C,-0.026845637583892527,0.009392653617920218,0.004261153821353745
gpt-4.1,ChatGPT,admits_liability,A:B,-0.00671140939597312,0.014276663032638233,0.6382860710054126
gpt-4.1,ChatGPT,admits_liability,A:C,0.0033557046979866244,0.015425078815646412,0.8277808164043234
gpt-4.1,ChatGPT,admits_liability,B:C,0.026845637583892683,0.009392653617920332,0.004261153821353986
gpt-4.1,ChatGPT,admits_liability,A:B:C,-1.3877787807814457e-17,0.015789333092609666,0.9999999999999993
gpt-4.1,Mistral,acknowledgement,A,0.29431438127090304,0.037972401841537835,9.135540148630262e-15
gpt-4.1,Mistral,acknowledgement,B,0.3879598662207357,0.041769002120540084,1.5688349392429116e-20
gpt-4.1,Mistral,acknowledgement,C,-0.6120401337792628,0.0453852270663238,1.905039910768234e-41
gpt-4.1,Mistral,acknowledgement,A:B,-0.3076923076923088,0.048582983996404414,2.399180278293651e-10
gpt-4.1,Mistral,acknowledgement,A:C,0.5016722408026739,0.05227232383704865,8.208018353391917e-22
gpt-4.1,Mistral,acknowledgement,B:C,-0.016722408026756383,0.06028898596827924,0.7814953527106754
gpt-4.1,Mistral,acknowledgement,A:B:C,0.08026755852843054,0.0747250104864033,0.2827453320790291
gpt-4.1,Mistral,concreteness,A,0.5953177257525091,0.04976652140485974,5.604806763352487e-33
gpt-4.1,Mistral,concreteness,B,0.7591973244147147,0.04776164987525223,6.80371568988387e-57
gpt-4.1,Mistral,concreteness,C,-0.7993311036789275,0.05367584295708349,3.7247846653374253e-50
gpt-4.1,Mistral,concreteness,A:B,-0.5953177257525089,0.05713693986407184,2.0278029860561094e-25
gpt-4.1,Mistral,concreteness,A:C,0.7290969899665535,0.07141168651608713,1.792868527744634e-24
gpt-4.1,Mistral,concreteness,B:C,0.7123745819397985,0.06234027586779609,3.058237156525328e-30
gpt-4.1,Mistral,concreteness,A:B:C,-0.622073578595315,0.08301814970644925,6.72021456191209e-14
gpt-4.1,Mistral,tone,A,-0.12709030100334456,0.027084367081270894,2.700372043678819e-06
gpt-4.1,Mistral,tone,B,0.0468227424749165,0.015500144328444142,0.0025211284676860297
gpt-4.1,Mistral,tone,C,0.02006688963210728,0.017067570476891558,0.23970196686127554
gpt-4.1,Mistral,tone,A:B,0.12374581939799338,0.027751657648341897,8.232661819652993e-06
gpt-4.1,Mistral,tone,A:C,0.14046822742474938,0.028487974764503265,8.189764459034792e-07
gpt-4.1,Mistral,tone,B:C,-0.01672240802675596,0.019248594453938693,0.38497844120110725
gpt-4.1,Mistral,tone,A:B:C,-0.13043478260869568,0.029614064706274545,1.0603417542573121e-05
gpt-4.1,Mistral,grounding,A,-0.7157190635451507,0.06512821843458153,4.298452224778201e-28
gpt-4.1,Mistral,grounding,B,0.24414715719063665,0.04898502925210455,6.224514442857553e-07
gpt-4.1,Mistral,grounding,C,0.5083612040133787,0.04434815457140391,2.0247016683758812e-30
gpt-4.1,Mistral,grounding,A:B,0.39799331103678914,0.0748428042746435,1.0507379513770207e-07
gpt-4.1,Mistral,grounding,A:C,0.3846153846153849,0.06995557598783404,3.84134517006883e-08
gpt-4.1,Mistral,grounding,B:C,-0.2575250836120411,0.04828997330158265,9.666222546781129e-08
gpt-4.1,Mistral,grounding,A:B:C,-0.16722408026755842,0.07808144075874097,0.0322206641767941
gpt-4.1,Mistral,overall,A,-0.006688963210702253,0.04838498793651799,0.8900471092790591
gpt-4.1,Mistral,overall,B,0.36789297658862835,0.03876905751891112,2.3248966355575826e-21
gpt-4.1,Mistral,overall,C,-0.3913043478260852,0.042067163477904956,1.379641636268007e-20
