Row,Prompt_Variant,Model,compound,narr_compound,p_negative,p_neutral,p_positive,roberta_score,roberta_label
2,v1_terse,Mistral,0.3612,-0.9259,0.55978656,0.4084219,0.03179154,-0.527995,negative
2,v2_empathetic,Mistral,-0.0451,-0.9259,0.8570404,0.13307007,0.009889449,-0.847151,negative
2,v3_structured,Mistral,0.4404,-0.9259,0.26467323,0.7106296,0.024697203,-0.23997603,neutral
2,v1_terse,ChatGPT,0.875,-0.9259,0.46448228,0.4955732,0.039944522,-0.42453775,neutral
4,v1_terse,Mistral,0.7118,-0.4554,0.43975145,0.5367057,0.023542924,-0.41620854,neutral
4,v2_empathetic,Mistral,-0.8797,-0.4554,0.90051377,0.09147958,0.008006723,-0.892507,negative
4,v3_structured,Mistral,0.0,-0.4554,0.37687168,0.60370576,0.019422632,-0.35744905,neutral
2,v2_empathetic,ChatGPT,-0.5189,-0.9259,0.71752995,0.2543231,0.028146977,-0.689383,negative
2,v3_structured,ChatGPT,-0.296,-0.9259,0.45988557,0.5234773,0.016637122,-0.44324845,neutral
4,v2_empathetic,ChatGPT,-0.0798,-0.4554,0.5918412,0.36480445,0.043354366,-0.5484868,negative
4,v1_terse,ChatGPT,0.6731,-0.4554,0.34381774,0.6222094,0.033972874,-0.30984485,neutral
4,v3_structured,ChatGPT,0.3818,-0.4554,0.555027,0.43256578,0.012407198,-0.5426198,negative
9,v1_terse,Mistral,0.3869,0.3732,0.6322751,0.34584513,0.021879796,-0.6103953,negative
9,v2_empathetic,Mistral,-0.0772,0.3732,0.80431,0.17868656,0.01700334,-0.78730667,negative
9,v1_terse,ChatGPT,0.5994,0.3732,0.36599937,0.5734465,0.060554132,-0.30544525,neutral
11,v1_terse,Mistral,0.7269,0.7162,0.5078465,0.46600667,0.02614682,-0.48169965,negative
9,v3_structured,Mistral,-0.7741,0.3732,0.5276488,0.45751473,0.014836479,-0.5128123,negative
11,v2_empathetic,Mistral,0.628,0.7162,0.8738189,0.116750285,0.009430833,-0.86438805,negative
9,v2_empathetic,ChatGPT,0.8697,0.3732,0.39079064,0.5047858,0.10442358,-0.28636706,neutral
9,v3_structured,ChatGPT,-0.5267,0.3732,0.43077108,0.5543607,0.014868278,-0.4159028,neutral
11,v3_structured,Mistral,0.4193,0.7162,0.48170307,0.502669,0.015627911,-0.46607515,neutral
13,v1_terse,Mistral,0.8957,0.5106,0.011048486,0.37492836,0.6140232,0.6029747,positive
11,v1_terse,ChatGPT,0.8934,0.7162,0.7320834,0.25085858,0.017057998,-0.71502537,negative
13,v3_structured,Mistral,0.34,0.5106,0.11401935,0.84876555,0.037215114,-0.076804236,neutral
13,v3_structured,ChatGPT,-0.5267,0.5106,0.62153137,0.36268145,0.015787223,-0.6057441,negative
13,v2_empathetic,Mistral,-0.0923,0.5106,0.85177237,0.13813865,0.01008889,-0.8416835,negative
11,v3_structured,ChatGPT,0.4767,0.7162,0.42297462,0.55492675,0.02209859,-0.40087602,neutral
13,v1_terse,ChatGPT,0.6249,0.5106,0.08658407,0.5774287,0.33598724,0.24940318,neutral
15,v1_terse,Mistral,0.2732,-0.0572,0.1939648,0.7307938,0.07524139,-0.11872341,neutral
15,v3_structured,Mistral,0.3453,-0.0572,0.529904,0.45746076,0.012635307,-0.5172687,negative
15,v2_empathetic,Mistral,-0.811,-0.0572,0.83944875,0.14931376,0.011237511,-0.82821125,negative
11,v2_empathetic,ChatGPT,-0.479,0.7162,0.766983,0.20905825,0.02395875,-0.74302423,negative
13,v2_empathetic,ChatGPT,0.4095,0.5106,0.60545635,0.36324555,0.03129811,-0.57415825,negative
15,v1_terse,ChatGPT,-0.1263,-0.0572,0.11810957,0.78910106,0.092789374,-0.025320195,neutral
18,v1_terse,Mistral,0.6908,-0.1586,0.44002172,0.46987405,0.09010421,-0.34991753,neutral
15,v2_empathetic,ChatGPT,-0.0772,-0.0572,0.7236521,0.26252627,0.013821631,-0.7098305,negative
18,v2_empathetic,ChatGPT,-0.3824,-0.1586,0.6262316,0.34194303,0.031825326,-0.5944063,negative
18,v3_structured,Mistral,-0.5106,-0.1586,0.36225143,0.6133983,0.024350341,-0.3379011,neutral
15,v3_structured,ChatGPT,-0.296,-0.0572,0.36910588,0.60810345,0.022790687,-0.34631518,neutral
18,v2_empathetic,Mistral,-0.1027,-0.1586,0.7815744,0.19985285,0.018572653,-0.7630018,negative
18,v3_structured,ChatGPT,-0.6124,-0.1586,0.4413282,0.5423004,0.016371408,-0.4249568,neutral
20,v1_terse,Mistral,0.0258,-0.9257,0.53105533,0.43891466,0.03003003,-0.5010253,negative
20,v3_structured,Mistral,-0.0258,-0.9257,0.5644554,0.42358425,0.0119603425,-0.55249506,negative
20,v2_empathetic,Mistral,-0.2213,-0.9257,0.7935456,0.19272482,0.013729609,-0.779816,negative
20,v3_structured,ChatGPT,-0.296,-0.9257,0.5537405,0.43321902,0.013040398,-0.5407001,negative
21,v3_structured,Mistral,-0.0516,0.577,0.36048773,0.62265825,0.016854,-0.34363374,neutral
21,v2_empathetic,Mistral,-0.4357,0.577,0.7213879,0.2594618,0.019150283,-0.70223767,negative
21,v2_empathetic,ChatGPT,0.672,0.577,0.5981992,0.36661392,0.03518686,-0.5630123,negative
20,v1_terse,ChatGPT,0.9138,-0.9257,0.5178523,0.45419413,0.027953532,-0.48989877,negative
18,v1_terse,ChatGPT,0.6514,-0.1586,0.33544925,0.58934826,0.07520248,-0.26024675,neutral
21,v1_terse,Mistral,0.5719,0.577,0.4860698,0.4805645,0.03336567,-0.45270413,negative
20,v2_empathetic,ChatGPT,0.228,-0.9257,0.7264051,0.25662327,0.016971685,-0.7094334,negative
24,v1_terse,Mistral,-0.128,0.0971,0.71830904,0.2675595,0.014131417,-0.7041776,negative
21,v3_structured,ChatGPT,0.0258,0.577,0.561047,0.4272345,0.01171852,-0.5493285,negative
24,v1_terse,ChatGPT,0.3818,0.0971,0.5803837,0.39648604,0.023130193,-0.55725354,negative
24,v3_structured,Mistral,0.5106,0.0971,0.42280048,0.5575827,0.019616827,-0.40318364,neutral
24,v2_empathetic,Mistral,-0.7081,0.0971,0.77596927,0.20880002,0.015230756,-0.7607385,negative
24,v2_empathetic,ChatGPT,0.8484,0.0971,0.69078803,0.2801249,0.029087061,-0.66170096,negative
24,v3_structured,ChatGPT,-0.5106,0.0971,0.66078216,0.32464227,0.014575504,-0.6462067,negative
30,v1_terse,Mistral,0.6124,0.9067,0.27982822,0.65097517,0.06919652,-0.2106317,neutral
30,v2_empathetic,Mistral,0.5358,0.9067,0.81338155,0.17326605,0.013352444,-0.8000291,negative
21,v1_terse,ChatGPT,0.6597,0.577,0.40510434,0.542796,0.052099694,-0.35300463,neutral
31,v1_terse,Mistral,0.4451,-0.825,0.4400763,0.5305389,0.02938481,-0.41069147,neutral
30,v3_structured,Mistral,-0.1695,0.9067,0.4726631,0.51351446,0.013822431,-0.45884067,neutral
30,v2_empathetic,ChatGPT,-0.343,0.9067,0.83680695,0.15110818,0.012084901,-0.82472205,negative
31,v2_empathetic,ChatGPT,0.7512,-0.825,0.64902,0.31061536,0.040364657,-0.60865533,negative
32,v1_terse,Mistral,0.3182,0.7096,0.7518013,0.23454967,0.013648987,-0.7381523,negative
31,v3_structured,Mistral,-0.2023,-0.825,0.50818676,0.47563392,0.016179323,-0.49200743,negative
30,v1_terse,ChatGPT,0.8779,0.9067,0.14964753,0.733527,0.116825484,-0.03282205,neutral
32,v3_structured,Mistral,0.5106,0.7096,0.45477873,0.53039336,0.014827907,-0.43995082,neutral
30,v3_structured,ChatGPT,0.2344,0.9067,0.551174,0.43780437,0.011021687,-0.5401523,negative
32,v2_empathetic,Mistral,0.6003,0.7096,0.8660273,0.12492052,0.009052182,-0.85697514,negative
31,v1_terse,ChatGPT,0.7027,-0.825,0.5463471,0.42870912,0.024943836,-0.52140325,negative
31,v2_empathetic,Mistral,0.836,-0.825,0.40940833,0.48314357,0.10744812,-0.3019602,neutral
34,v1_terse,Mistral,0.3664,0.0,0.4928813,0.48162153,0.025497133,-0.46738416,negative
32,v1_terse,ChatGPT,0.9196,0.7096,0.19845866,0.73878855,0.062752746,-0.13570592,neutral
31,v3_structured,ChatGPT,-0.6783,-0.825,0.7414008,0.24924843,0.009350783,-0.73205,negative
32,v2_empathetic,ChatGPT,0.6513,0.7096,0.772359,0.21138133,0.01625966,-0.75609934,negative
34,v3_structured,Mistral,0.4404,0.0,0.52235395,0.46324167,0.014404412,-0.50794953,negative
32,v3_structured,ChatGPT,0.25,0.7096,0.45412123,0.5308318,0.015046994,-0.43907425,neutral
34,v2_empathetic,Mistral,-0.0772,0.0,0.81322634,0.17599972,0.010773924,-0.80245245,negative
36,v1_terse,Mistral,0.0836,-0.8481,0.5953572,0.3846447,0.019998092,-0.5753591,negative
34,v1_terse,ChatGPT,0.7783,0.0,0.2700996,0.6668629,0.06303745,-0.20706216,neutral
36,v3_structured,Mistral,-0.3612,-0.8481,0.40953892,0.5738871,0.016573947,-0.392965,neutral
36,v2_empathetic,Mistral,-0.7089,-0.8481,0.7452096,0.23287973,0.02191063,-0.72329897,negative
37,v1_terse,Mistral,0.3182,0.7099,0.6842481,0.2965778,0.01917404,-0.66507405,negative
34,v2_empathetic,ChatGPT,0.7738,0.0,0.50179154,0.44702947,0.05117896,-0.45061257,negative
34,v3_structured,ChatGPT,0.0,0.0,0.4326153,0.5512847,0.016100027,-0.4165153,neutral
38,v1_terse,ChatGPT,0.3612,-0.765,0.63224214,0.34988376,0.017874088,-0.6143681,negative
36,v1_terse,ChatGPT,-0.3818,-0.8481,0.5836837,0.39179513,0.024521153,-0.55916256,negative
38,v1_terse,Mistral,0.5859,-0.765,0.6405104,0.33683085,0.02265873,-0.6178517,negative
37,v3_structured,Mistral,0.5994,0.7099,0.22723314,0.7478234,0.024943473,-0.20228967,neutral
37,v2_empathetic,Mistral,0.0258,0.7099,0.69526374,0.28098896,0.023747355,-0.6715164,negative
37,v1_terse,ChatGPT,0.8271,0.7099,0.6474257,0.321009,0.031565346,-0.61586034,negative
38,v3_structured,Mistral,0.7798,-0.765,0.09984071,0.86001855,0.040140763,-0.059699945,neutral
38,v3_structured,ChatGPT,0.1779,-0.765,0.45149994,0.5237738,0.024726307,-0.42677364,neutral
38,v2_empathetic,Mistral,-0.9013,-0.765,0.82147986,0.16716263,0.011357523,-0.8101223,negative
40,v1_terse,Mistral,0.3818,0.9729,0.68792295,0.2992179,0.012859135,-0.67506385,negative
37,v3_structured,ChatGPT,-0.1027,0.7099,0.65662813,0.33175576,0.011616184,-0.64501196,negative
40,v3_structured,Mistral,0.6369,0.9729,0.3079814,0.67375755,0.018261071,-0.28972033,neutral
40,v2_empathetic,ChatGPT,0.765,0.9729,0.58202803,0.3831377,0.034834236,-0.54719377,negative
40,v2_empathetic,Mistral,-0.8439,0.9729,0.8636778,0.12661648,0.009705729,-0.8539721,negative
40,v3_structured,ChatGPT,0.2263,0.9729,0.44394562,0.540209,0.015845405,-0.4281002,neutral
42,v1_terse,Mistral,0.7003,-0.6871,0.19636393,0.76137,0.042266075,-0.15409786,neutral
37,v2_empathetic,ChatGPT,0.8871,0.7099,0.78156143,0.20281515,0.01562344,-0.765938,negative
40,v1_terse,ChatGPT,0.5106,0.9729,0.5540804,0.4252535,0.02066599,-0.5334144,negative
42,v3_structured,Mistral,-0.2023,-0.6871,0.2155821,0.76129866,0.02311932,-0.19246279,neutral
42,v2_empathetic,Mistral,-0.2716,-0.6871,0.8103515,0.17709897,0.012549443,-0.79780203,negative
38,v2_empathetic,ChatGPT,-0.1243,-0.765,0.81051666,0.17089191,0.018591443,-0.7919252,negative
36,v2_empathetic,ChatGPT,0.9122,-0.8481,0.26950854,0.62710506,0.103386424,-0.16612211,neutral
36,v3_structured,ChatGPT,-0.5859,-0.8481,0.6432281,0.34595922,0.010812621,-0.6324155,negative
42,v1_terse,ChatGPT,0.8225,-0.6871,0.31280336,0.580861,0.10633568,-0.20646769,neutral
42,v2_empathetic,ChatGPT,0.5859,-0.6871,0.7368764,0.23881255,0.02431103,-0.7125654,negative
42,v3_structured,ChatGPT,-0.2023,-0.6871,0.23111168,0.74631727,0.02257107,-0.2085406,neutral
46,v1_terse,Mistral,0.6124,-0.9718,0.7150242,0.26530915,0.019666709,-0.69535744,negative
46,v2_empathetic,Mistral,0.8519,-0.9718,0.79525405,0.19041649,0.0143294595,-0.7809246,negative
46,v3_structured,Mistral,0.5859,-0.9718,0.20783605,0.7708068,0.021357073,-0.18647897,neutral
47,v1_terse,Mistral,0.4588,0.0,0.38253924,0.5763386,0.0411222,-0.34141704,neutral
47,v2_empathetic,Mistral,-0.2501,0.0,0.8544082,0.13459508,0.010996753,-0.84341145,negative
47,v3_structured,ChatGPT,-0.3818,0.0,0.4672139,0.5147008,0.01808529,-0.4491286,neutral
47,v3_structured,Mistral,-0.0772,0.0,0.24907683,0.73002535,0.020897841,-0.228179,neutral
46,v1_terse,ChatGPT,0.8932,-0.9718,0.43392625,0.5002354,0.065838374,-0.3680879,neutral
48,v3_structured,Mistral,0.0,-0.9385,0.14753397,0.82600975,0.026456244,-0.121077724,neutral
48,v2_empathetic,Mistral,-0.4875,-0.9385,0.8607409,0.12910296,0.010156049,-0.85058486,negative
49,v1_terse,Mistral,-0.1195,-0.9135,0.7744289,0.2157994,0.009771584,-0.7646573,negative
46,v3_structured,ChatGPT,-0.7783,-0.9718,0.56113344,0.4226077,0.01625891,-0.54487455,negative
47,v1_terse,ChatGPT,0.7351,0.0,0.5324828,0.43858072,0.028936483,-0.5035463,negative
48,v1_terse,Mistral,-0.4471,-0.9385,0.3593282,0.6189531,0.02171875,-0.33760947,neutral
46,v2_empathetic,ChatGPT,0.875,-0.9718,0.7808737,0.20359829,0.015527864,-0.7653459,negative
