response_category,Model,reply_compound,promise_outcome,apology,n
Closed,ChatGPT,0.11657413793103448,0.0,0.5919540229885057,174
Closed,Mistral,-0.13547528735632183,0.0,0.5402298850574713,174
Closed with explanation,ChatGPT,0.3381846908963421,0.0003895446223364886,0.5502707335125239,25671
Closed with explanation,Mistral,0.12157451599080675,0.002532040045187176,0.5496864165790192,25671
Closed with monetary relief,ChatGPT,0.3374474320241692,0.0010070493454179255,0.6143001007049346,993
Closed with monetary relief,Mistral,0.09543816717019134,0.00906344410876133,0.6304128902316214,993
Closed with non-monetary relief,ChatGPT,0.35130217236467237,0.0010683760683760685,0.5626780626780626,2808
Closed with non-monetary relief,Mistral,0.10661623931623931,0.004273504273504274,0.5502136752136753,2808
Untimely response,ChatGPT,0.25044152542372883,0.0,0.5225988700564972,354
Untimely response,Mistral,0.026242372881355933,0.005649717514124294,0.519774011299435,354
