narr_quintile,Model,reply_compound,apology,empathy,escalation,n
Q1 most negative,ChatGPT,0.20356558333333333,0.5541666666666667,0.9416666666666667,0.233,6000
Q1 most negative,Mistral,-0.06544291666666666,0.5256666666666666,0.8101666666666667,0.4161666666666667,6000
Q2,ChatGPT,0.2505596666666667,0.5733333333333334,0.936,0.20183333333333334,6000
Q2,Mistral,0.005761466666666666,0.5625,0.8073333333333333,0.38283333333333336,6000
Q3,ChatGPT,0.3130663,0.5716666666666667,0.9195,0.1895,6000
Q3,Mistral,0.08552081666666667,0.5683333333333334,0.807,0.35183333333333333,6000
Q4,ChatGPT,0.40485840796019906,0.5502487562189055,0.9230514096185738,0.18623548922056385,6030
Q4,Mistral,0.2088623217247098,0.5623548922056385,0.8082918739635158,0.33565505804311774,6030
Q5 least negative,ChatGPT,0.5138317755443886,0.5177554438860972,0.9306532663316583,0.20083752093802346,5970
Q5 least negative,Mistral,0.3494688442211056,0.541038525963149,0.81892797319933,0.34673366834170855,5970
