judges,criterion,type,spearman_rho,p,exact_agreement,within_1,n,kappa,rate_first,rate_second,judge_rate,regex_rate
gpt-4o-mini vs mistral-small,acknowledgement,score,0.5892106969188142,3.679836437250309e-168,0.3879598662207358,0.8439241917502787,1794,,,,,
gpt-4o-mini vs mistral-small,concreteness,score,0.7077792619930116,9.1409766047503e-273,0.5451505016722408,0.9849498327759197,1794,,,,,
gpt-4o-mini vs mistral-small,tone,score,0.38108011355052285,4.298784231307064e-63,0.6270903010033445,0.9994425863991081,1794,,,,,
gpt-4o-mini vs mistral-small,grounding,score,0.05873615352231165,0.012838372982608466,0.7870680044593088,0.8422519509476031,1794,,,,,
gpt-4o-mini vs mistral-small,overall,score,0.5762976505400336,2.782736963636453e-159,0.5373467112597548,0.947603121516165,1794,,,,,
gpt-4o-mini vs mistral-small,has_placeholder,flag,,,0.947603121516165,,1794,0.8107442023325343,0.19063545150501673,0.13935340022296544,,
gpt-4o-mini vs mistral-small,promises_outcome,flag,,,0.9141583054626533,,1794,0.5197805712378677,0.13935340022296544,0.054626532887402456,,
gpt-4o-mini vs mistral-small,admits_liability,flag,,,0.8740245261984393,,1794,0.31198816218619463,0.15997770345596432,0.03400222965440357,,
gpt-4o-mini vs gpt-4.1,acknowledgement,score,0.5863519610344207,1.8794681968127727e-35,0.5989159891598916,0.983739837398374,369,,,,,
gpt-4o-mini vs gpt-4.1,concreteness,score,0.5418892768621812,1.508179136744081e-29,0.4905149051490515,0.9701897018970189,369,,,,,
gpt-4o-mini vs gpt-4.1,tone,score,0.0756837866421395,0.14678341722159022,0.7452574525745257,0.994579945799458,369,,,,,
gpt-4o-mini vs gpt-4.1,grounding,score,0.04924054905775062,0.3455565516269016,0.7588075880758808,0.8888888888888888,369,,,,,
gpt-4o-mini vs gpt-4.1,overall,score,0.32542425337014014,1.5021002401782885e-10,0.5853658536585366,0.959349593495935,369,,,,,
gpt-4o-mini vs gpt-4.1,has_placeholder,flag,,,0.959349593495935,,369,0.8313271369800397,0.15989159891598917,0.11924119241192412,,
gpt-4o-mini vs gpt-4.1,promises_outcome,flag,,,0.9349593495934959,,369,0.7929292929292928,0.1951219512195122,0.1951219512195122,,
gpt-4o-mini vs gpt-4.1,admits_liability,flag,,,0.9105691056910569,,369,0.5828794574041721,0.15447154471544716,0.08672086720867209,,
mistral-small vs gpt-4.1,acknowledgement,score,0.5083151679093714,1.223750355586533e-25,0.35501355013550134,0.7940379403794038,369,,,,,
mistral-small vs gpt-4.1,concreteness,score,0.6511663822262127,6.904265648139246e-46,0.5149051490514905,0.9539295392953929,369,,,,,
mistral-small vs gpt-4.1,tone,score,0.1265940356818912,0.01496029697961935,0.4715447154471545,0.997289972899729,369,,,,,
mistral-small vs gpt-4.1,grounding,score,0.2676855352194577,1.7873597999511582e-07,0.6991869918699187,0.8373983739837398,369,,,,,
mistral-small vs gpt-4.1,overall,score,0.3456898258244739,8.512395726770445e-12,0.4146341463414634,0.9214092140921409,369,,,,,
mistral-small vs gpt-4.1,has_placeholder,flag,,,0.989159891598916,,369,0.9473571581425211,0.11382113821138211,0.11924119241192412,,
mistral-small vs gpt-4.1,promises_outcome,flag,,,0.8726287262872628,,369,0.4759314658689146,0.07859078590785908,0.1951219512195122,,
mistral-small vs gpt-4.1,admits_liability,flag,,,0.943089430894309,,369,0.4889533733430069,0.02981029810298103,0.08672086720867209,,
gpt-4o-mini,has_placeholder vs regex,validation,,,0.9498327759197325,,1794,0.8223387118071145,,,0.19063545150501673,0.14827201783723523
mistral-small,has_placeholder vs regex,validation,,,0.979933110367893,,1794,0.9185269659292751,,,0.13935340022296544,0.14827201783723523
gpt-4.1,has_placeholder vs regex,validation,,,0.994579945799458,,369,0.9746930937521431,,,0.11924119241192412,0.12466124661246612
