Model,feature,factor,n,estimate,ci_lo,ci_hi,excludes_zero
ChatGPT,Length (chars),A,2999,4.315855285095032,2.9203526175391796,5.8138108536178725,True
ChatGPT,Length (chars),B,2999,-89.77067355785262,-91.33347990996998,-88.25130043347782,True
ChatGPT,Length (chars),C,2999,-46.521590530176724,-47.93923807935978,-45.272382460820275,True
ChatGPT,Sentences,A,2999,0.015588529509836612,0.005001667222407469,0.026844364788262753,True
ChatGPT,Sentences,B,2999,-1.4664054684894965,-1.4789096365455152,-1.4539763254418139,True
ChatGPT,Sentences,C,2999,-0.3256918972990997,-0.33753334444814936,-0.3137670890296766,True
ChatGPT,VADER compound,A,2999,-0.239022099033011,-0.24733199795765254,-0.2301036622624208,True
ChatGPT,VADER compound,B,2999,-0.889430135045015,-0.9017685203401135,-0.8772665867789263,True
ChatGPT,VADER compound,C,2999,-0.016191122040680225,-0.023702066938979666,-0.008710412637545852,True
ChatGPT,FK grade,A,2999,-0.4656302100700234,-0.4993683311103701,-0.4336091197065689,True
ChatGPT,FK grade,B,2999,0.8108619539846614,0.7761893547849282,0.846209361453818,True
ChatGPT,FK grade,C,2999,-0.1433561187062354,-0.1748270256752251,-0.11252875958652885,True
ChatGPT,Apology,A,2999,0.3100200066688896,0.304434811603868,0.31568856285428476,True
ChatGPT,Apology,B,2999,-0.6202900966988997,-0.626294181393798,-0.6137858452817605,True
ChatGPT,Apology,C,2999,-0.17730910303434477,-0.18272757585861954,-0.17180726908969657,True
ChatGPT,Ownership,A,2999,0.33452817605868623,0.32794056352117373,0.3414471490496832,True
ChatGPT,Ownership,B,2999,0.33619539846615537,0.32935978659553183,0.34295181727242413,True
ChatGPT,Ownership,C,2999,-0.08927975991997332,-0.09553184394798266,-0.08344448149383128,True
ChatGPT,Time-bound commitment,A,2999,0.05460153384461487,0.04609661553851284,0.06318772924308103,True
ChatGPT,Time-bound commitment,B,2999,0.5981160386795599,0.5885211737245749,0.6076212904301435,True
ChatGPT,Time-bound commitment,C,2999,0.0020840280093364456,-0.007671307102367456,0.011257919306435476,False
ChatGPT,Escalation,A,2999,0.46748916305435145,0.4576400466822274,0.477242414138046,True
ChatGPT,Escalation,B,2999,-0.06602200733577859,-0.07594406468822941,-0.056099949983327776,True
ChatGPT,Escalation,C,2999,0.022674224741580526,0.014085945315105037,0.031427142380793596,True
ChatGPT,Asks for information,A,2999,-0.16647215738579527,-0.17264088029343114,-0.1603034344781594,True
ChatGPT,Asks for information,B,2999,-0.15113371123707903,-0.15730451817272423,-0.14496498832944316,True
ChatGPT,Asks for information,C,2999,-0.06477159053017673,-0.07044223074358119,-0.058850866955651886,True
ChatGPT,Thanks the customer,A,2999,-0.06335445148382794,-0.07027550850283427,-0.056183311103701235,True
ChatGPT,Thanks the customer,B,2999,-0.816105368456152,-0.8232744248082694,-0.808350700233411,True
ChatGPT,Thanks the customer,C,2999,0.011170390130043348,0.00458486162054018,0.01767464154718239,True
ChatGPT,Leaves a [placeholder],A,2999,-0.13437812604201402,-0.14204943314438145,-0.12720906968989662,True
ChatGPT,Leaves a [placeholder],B,2999,-0.3942980993664555,-0.4028030176725575,-0.3859619873291097,True
ChatGPT,Leaves a [placeholder],C,2999,-0.2632544181393798,-0.26992330776925644,-0.2559999166388796,True
ChatGPT,Markdown,A,2999,0.014754918306102033,0.012670890296765588,0.016922307435811936,True
ChatGPT,Markdown,B,2999,0.015921973991330444,0.013587862620873624,0.018172724241413803,True
ChatGPT,Markdown,C,2999,-0.0035845281760586863,-0.005837362454151384,-0.001333777925975325,True
ChatGPT,Hedging,A,2999,-0.08594531510503502,-0.09170140046682228,-0.08052684228076025,True
ChatGPT,Hedging,B,2999,-0.0954484828276092,-0.10211945648549516,-0.08927559186395465,True
ChatGPT,Hedging,C,2999,0.04859953317772591,0.04334778259419807,0.054353534511503834,True
