Product_family,Model,reply_compound,chars,apology,time_bound,promise_outcome,n
Checking / savings account,ChatGPT,0.32854533678756476,391.36701208981003,0.5906735751295337,0.307426597582038,0.0017271157167530224,2316
Checking / savings account,Mistral,0.08484974093264248,364.2888601036269,0.603195164075993,0.581174438687392,0.006044905008635579,2316
Credit card / prepaid card,ChatGPT,0.4027517913593256,389.23410607657183,0.587284861257464,0.299438004917457,0.0005268703898840885,5694
Credit card / prepaid card,Mistral,0.1536278363189322,362.765191429575,0.605198454513523,0.5927291886195996,0.005268703898840885,5694
Credit reporting,ChatGPT,0.44508176501860713,387.51249335459863,0.543859649122807,0.30515683147262096,0.0,1881
Credit reporting,Mistral,0.23450925039872408,366.3184476342371,0.5311004784688995,0.6071238702817651,0.00531632110579479,1881
Debt collection,ChatGPT,0.20092127388535033,386.2191082802548,0.5374734607218684,0.29585987261146496,0.00010615711252653928,9420
Debt collection,Mistral,-0.05168425690021231,361.9530785562633,0.4975583864118896,0.5691082802547771,0.001167728237791932,9420
Mortgage,ChatGPT,0.3973057841383423,403.52434903597697,0.5643013317431922,0.29218843172331543,0.000795070562512423,5031
Mortgage,Mistral,0.2317254025044723,379.88869012124826,0.5879546809779368,0.5851719340091434,0.0019876764062810573,5031
Payday / personal loan,ChatGPT,0.4486016806722689,391.9983193277311,0.5333333333333333,0.31092436974789917,0.0005602240896358543,1785
Payday / personal loan,Mistral,0.24766767507002801,361.30812324929974,0.534453781512605,0.6123249299719888,0.0016806722689075631,1785
Student loan,ChatGPT,0.39142278138528136,400.10497835497836,0.5102813852813853,0.29383116883116883,0.0,1848
Student loan,Mistral,0.2201849567099567,379.16450216450215,0.5422077922077922,0.6017316017316018,0.0010822510822510823,1848
Vehicle loan or lease,ChatGPT,0.39753856790123454,393.6824691358025,0.5293827160493827,0.31160493827160496,0.0004938271604938272,2025
Vehicle loan or lease,Mistral,0.22740286419753086,369.7985185185185,0.551604938271605,0.6019753086419753,0.003950617283950617,2025
