Judge,Model,comparison,criterion,diff,ci95,paired_d,wilcoxon_p
gpt-4o-mini,ChatGPT,V2 empathetic - V1,acknowledgement,0.8795986622073578,0.0885010934170894,1.1265653800068,4.927054171973395e-37
gpt-4o-mini,ChatGPT,V2 empathetic - V1,concreteness,0.8361204013377926,0.07281347439398135,1.3016000093359517,6.455167971046259e-42
gpt-4o-mini,ChatGPT,V2 empathetic - V1,tone,0.5117056856187291,0.05898932264215995,0.9832575964612161,7.00222412952833e-34
gpt-4o-mini,ChatGPT,V2 empathetic - V1,grounding,-0.010033444816053512,0.014638148738073693,-0.07769344660734277,0.17971249487899976
gpt-4o-mini,ChatGPT,V2 empathetic - V1,overall,0.842809364548495,0.07417510522004458,1.28792821822356,7.833650168403423e-41
gpt-4o-mini,ChatGPT,V3 structured - V1,acknowledgement,1.2307692307692308,0.08980953634862246,1.5533690693415536,9.851933889426734e-45
gpt-4o-mini,ChatGPT,V3 structured - V1,concreteness,0.8929765886287625,0.07089498655053153,1.4277265172694722,3.0857378207723906e-44
gpt-4o-mini,ChatGPT,V3 structured - V1,tone,0.2976588628762542,0.06964737371509232,0.4844339268925072,4.39012165838242e-14
gpt-4o-mini,ChatGPT,V3 structured - V1,grounding,0.0033444816053511705,0.006555183946488295,0.05783149319662401,0.31731050786291415
gpt-4o-mini,ChatGPT,V3 structured - V1,overall,0.7625418060200669,0.07076265699884099,1.2214621235140708,3.5484411079828803e-40
gpt-4o-mini,Mistral,V2 empathetic - V1,acknowledgement,1.0167224080267558,0.10565550131754195,1.090763903509762,1.5078392788513624e-35
gpt-4o-mini,Mistral,V2 empathetic - V1,concreteness,1.1906354515050168,0.09960990592062696,1.3548672869317693,4.5181626217674715e-41
gpt-4o-mini,Mistral,V2 empathetic - V1,tone,0.38461538461538464,0.05677717780497389,0.76784458831689,5.529070108130463e-26
gpt-4o-mini,Mistral,V2 empathetic - V1,grounding,0.010033444816053512,0.01733507034350667,0.06560620781316144,0.25683925795785656
gpt-4o-mini,Mistral,V2 empathetic - V1,overall,0.8528428093645485,0.08082665599879828,1.1960101297701373,2.8293435814813385e-39
gpt-4o-mini,Mistral,V3 structured - V1,acknowledgement,0.745819397993311,0.11117644060977343,0.7603987359247284,2.878486331432909e-25
gpt-4o-mini,Mistral,V3 structured - V1,concreteness,0.30434782608695654,0.09362367369616105,0.36847243369360133,1.8818915307697536e-09
gpt-4o-mini,Mistral,V3 structured - V1,tone,0.08361204013377926,0.07397070402713392,0.12812372167800945,0.027727015543251528
gpt-4o-mini,Mistral,V3 structured - V1,grounding,0.010033444816053512,0.017335070343506672,0.06560620781316144,0.25683925795785656
gpt-4o-mini,Mistral,V3 structured - V1,overall,0.32441471571906355,0.08498865121197467,0.4326732902404585,6.0778981764162745e-12
mistral-small,ChatGPT,V2 empathetic - V1,acknowledgement,0.3612040133779264,0.14430500681002845,0.2837211063696929,3.865253704916869e-06
