Model,Comparison,Metric,n pairs,Variant mean,V1 mean,Diff,Cohen d (paired),p
ChatGPT,V2 empathetic vs V1 terse,Length (chars),10000,495.902,295.3695,200.53249999999997,2.962749479432386,0.0
ChatGPT,V2 empathetic vs V1 terse,Length (words),10000,83.6178,45.2793,38.3385,3.6556100704808903,0.0
ChatGPT,V2 empathetic vs V1 terse,Sentences,10000,4.6356,2.0092,2.6264000000000003,3.977264141130229,0.0
ChatGPT,V2 empathetic vs V1 terse,VADER compound,10000,0.60820331,0.51790568,0.09029763000000002,0.16949721964267714,6.2895570215144625e-114
ChatGPT,V2 empathetic vs V1 terse,VADER positive share,10000,0.180208,0.20874830000000003,-0.02854030000000002,-0.3832200865268656,1.8986640691723595e-271
ChatGPT,V2 empathetic vs V1 terse,VADER negative share,10000,0.0916576,0.0890932,0.0025644000000000083,0.05427078404522393,2.5864147984646393e-12
ChatGPT,V2 empathetic vs V1 terse,Flesch reading ease,10000,57.802195,35.88915,21.913044999999997,1.9882106776272985,0.0
ChatGPT,V2 empathetic vs V1 terse,Flesch-Kincaid grade,10000,9.7291,13.8518,-4.1227,-2.1232957909118135,0.0
ChatGPT,V2 empathetic vs V1 terse,Latency (s),10000,1.182825,0.888705,0.29412000000000005,0.584384794425545,0.0
ChatGPT,V2 empathetic vs V1 terse,Completion tokens,10000,95.034,49.0758,45.958200000000005,3.4723124900846765,0.0
ChatGPT,V2 empathetic vs V1 terse,Apology,10000,0.9636,0.6965,0.2671,,0.0
ChatGPT,V2 empathetic vs V1 terse,Empathy / acknowledgement,10000,0.9896,0.8124,0.17720000000000002,,0.0
ChatGPT,V2 empathetic vs V1 terse,Ownership,10000,0.9781,0.3239,0.6541999999999999,,0.0
ChatGPT,V2 empathetic vs V1 terse,Time-bound commitment,10000,0.0602,0.0038,0.0564,,3.894897234200657e-145
ChatGPT,V2 empathetic vs V1 terse,Hedging,10000,0.0195,0.0401,-0.020599999999999997,,4.174448546416102e-19
ChatGPT,V2 empathetic vs V1 terse,Asks for information,10000,0.0056,0.4468,-0.4412,,0.0
ChatGPT,V2 empathetic vs V1 terse,Escalation,10000,0.5027,0.0695,0.43320000000000003,,0.0
ChatGPT,V2 empathetic vs V1 terse,Promises an outcome,10000,0.0007,0.0007,0.0,,1.0
ChatGPT,V2 empathetic vs V1 terse,Mentions regulator / bureau,10000,0.0243,0.0257,-0.001400000000000002,,0.47955475499064554
ChatGPT,V2 empathetic vs V1 terse,Markdown formatting,10000,0.0,0.0,0.0,,1.0
ChatGPT,V2 empathetic vs V1 terse,Echoes XXXX redaction,10000,0.0125,0.0125,0.0,,1.0
ChatGPT,V2 empathetic vs V1 terse,Thanks the customer,10000,0.7851,0.2448,0.5403,,0.0
ChatGPT,V2 empathetic vs V1 terse,Leaves a [placeholder],10000,0.4004,0.1175,0.2829,,0.0
ChatGPT,V2 empathetic vs V1 terse,v3_all_labels,10000,0.0,0.0,0.0,,1.0
ChatGPT,V2 empathetic vs V1 terse,v3_nothing_needed,10000,0.0,0.0,0.0,,1.0
ChatGPT,V2 empathetic vs V1 terse,sentence_compliant,10000,0.4578,0.9905,-0.5327000000000001,,0.0
ChatGPT,V2 empathetic vs V1 terse,truncated,10000,0.0,0.0,0.0,,1.0
ChatGPT,V3 structured vs V1 terse,Length (chars),10000,384.3534,295.3695,88.9839,1.5961054454126509,0.0
ChatGPT,V3 structured vs V1 terse,Length (words),10000,61.5686,45.2793,16.289300000000004,1.8139052061313037,0.0
ChatGPT,V3 structured vs V1 terse,Sentences,10000,3.0067,2.0092,0.9975,8.06555385136701,0.0
ChatGPT,V3 structured vs V1 terse,VADER compound,10000,-0.11490686999999998,0.51790568,-0.63281255,-1.1840516290009655,0.0
ChatGPT,V3 structured vs V1 terse,VADER positive share,10000,0.045014099999999994,0.20874830000000003,-0.16373420000000002,-2.4513414374633187,0.0
ChatGPT,V3 structured vs V1 terse,VADER negative share,10000,0.05793979999999999,0.0890932,-0.031153400000000005,-0.5767197336196311,0.0
ChatGPT,V3 structured vs V1 terse,Flesch reading ease,10000,52.392406,35.88915,16.503256,1.4562356850767733,0.0
ChatGPT,V3 structured vs V1 terse,Flesch-Kincaid grade,10000,11.009139999999999,13.8518,-2.842660000000002,-1.4340933957526585,0.0
ChatGPT,V3 structured vs V1 terse,Latency (s),10000,1.057373,0.888705,0.16866799999999993,0.3652667856123628,0.0
ChatGPT,V3 structured vs V1 terse,Completion tokens,10000,73.1373,49.0758,24.061499999999995,2.3656528878011556,0.0
ChatGPT,V3 structured vs V1 terse,Apology,10000,0.0003,0.6965,-0.6962,,0.0
ChatGPT,V3 structured vs V1 terse,Empathy / acknowledgement,10000,0.9885,0.8124,0.17610000000000003,,0.0
