item_id,Row,Model,Prompt_Variant,cell,raters
R20750c23,3644,ChatGPT,v1_terse,V1,AB
R4e1d3284,3644,Mistral,v1_terse,V1,AB
R2588f048,3644,ChatGPT,v2_empathetic,V2 / A00,AB
R20585aff,3644,Mistral,v2_empathetic,V2 / A00,AB
R08995ee3,3644,ChatGPT,v3_structured,V3,AB
R8b870ccf,3644,Mistral,v3_structured,V3,AB
R55f66854,3644,ChatGPT,f_000_base,000,AB
R9bfced07,3644,Mistral,f_000_base,000,AB
Rbe429ac7,3644,ChatGPT,f_A0C_empathetic_constraints,A0C,AB
R4cc1ce2e,3644,Mistral,f_A0C_empathetic_constraints,A0C,AB
R01b411d7,3644,ChatGPT,f_ABC_empathetic_format_constraints,ABC,AB
R36afc6d4,3644,Mistral,f_ABC_empathetic_format_constraints,ABC,AB
Rb5e1269a,1767,ChatGPT,v1_terse,V1,AB
R43adbb0f,1767,Mistral,v1_terse,V1,AB
R3101236d,1767,ChatGPT,v2_empathetic,V2 / A00,AB
Rb6328fa9,1767,Mistral,v2_empathetic,V2 / A00,AB
R171e3797,1767,ChatGPT,v3_structured,V3,AB
R543d0537,1767,Mistral,v3_structured,V3,AB
Rc730e63f,1767,ChatGPT,f_000_base,000,AB
Ra6302244,1767,Mistral,f_000_base,000,AB
R8b753c3a,1767,ChatGPT,f_A0C_empathetic_constraints,A0C,AB
R5e72a280,1767,Mistral,f_A0C_empathetic_constraints,A0C,AB
Ra32593f6,1767,ChatGPT,f_ABC_empathetic_format_constraints,ABC,AB
Rd7df77d9,1767,Mistral,f_ABC_empathetic_format_constraints,ABC,AB
R95e97df9,7307,ChatGPT,v1_terse,V1,AB
R102c9b98,7307,Mistral,v1_terse,V1,AB
R03341a17,7307,ChatGPT,v2_empathetic,V2 / A00,AB
R7e627093,7307,Mistral,v2_empathetic,V2 / A00,AB
Rc2e4a96f,7307,ChatGPT,v3_structured,V3,AB
Rdd9c8f4d,7307,Mistral,v3_structured,V3,AB
R3b6b778a,7307,ChatGPT,f_000_base,000,AB
Ra41ac800,7307,Mistral,f_000_base,000,AB
R34780260,7307,ChatGPT,f_A0C_empathetic_constraints,A0C,AB
R03d240bd,7307,Mistral,f_A0C_empathetic_constraints,A0C,AB
R1a5b13e6,7307,ChatGPT,f_ABC_empathetic_format_constraints,ABC,AB
R50a82e1a,7307,Mistral,f_ABC_empathetic_format_constraints,ABC,AB
Rb38f191c,5416,ChatGPT,v1_terse,V1,AB
R892f604e,5416,Mistral,v1_terse,V1,AB
R44ce7c72,5416,ChatGPT,v2_empathetic,V2 / A00,AB
Rf2b20f48,5416,Mistral,v2_empathetic,V2 / A00,AB
R6bcc9aec,5416,ChatGPT,v3_structured,V3,AB
Ra16e249a,5416,Mistral,v3_structured,V3,AB
R037f8cea,5416,ChatGPT,f_000_base,000,AB
Rb392af5a,5416,Mistral,f_000_base,000,AB
R3c4d338e,5416,ChatGPT,f_A0C_empathetic_constraints,A0C,AB
Rc1b7307d,5416,Mistral,f_A0C_empathetic_constraints,A0C,AB
R3568afa8,5416,ChatGPT,f_ABC_empathetic_format_constraints,ABC,AB
Rdd9e1215,5416,Mistral,f_ABC_empathetic_format_constraints,ABC,AB
Rc8897e29,6008,ChatGPT,v1_terse,V1,AB
Rb9dbea67,6008,Mistral,v1_terse,V1,AB
Rddda9b0e,6008,ChatGPT,v2_empathetic,V2 / A00,AB
R3270370b,6008,Mistral,v2_empathetic,V2 / A00,AB
Re6f38c59,6008,ChatGPT,v3_structured,V3,AB
R30a6cd44,6008,Mistral,v3_structured,V3,AB
R75e14e01,6008,ChatGPT,f_000_base,000,AB
R44a08c72,6008,Mistral,f_000_base,000,AB
Rc546cce6,6008,ChatGPT,f_A0C_empathetic_constraints,A0C,AB
R8670431b,6008,Mistral,f_A0C_empathetic_constraints,A0C,AB
R70e95a41,6008,ChatGPT,f_ABC_empathetic_format_constraints,ABC,AB
R65247ef4,6008,Mistral,f_ABC_empathetic_format_constraints,ABC,AB
R186a9c62,793,ChatGPT,v1_terse,V1,AB
R8b22583f,793,Mistral,v1_terse,V1,AB
Ref8dd64d,793,ChatGPT,v2_empathetic,V2 / A00,AB
R16fae1f7,793,Mistral,v2_empathetic,V2 / A00,AB
R51b52cb3,793,ChatGPT,v3_structured,V3,AB
R066b6fce,793,Mistral,v3_structured,V3,AB
Radb8bf03,793,ChatGPT,f_000_base,000,AB
R5fffdafa,793,Mistral,f_000_base,000,AB
Rf83a56fd,793,ChatGPT,f_A0C_empathetic_constraints,A0C,AB
R59400bda,793,Mistral,f_A0C_empathetic_constraints,A0C,AB
Re80cc84c,793,ChatGPT,f_ABC_empathetic_format_constraints,ABC,AB
R5d9d2a83,793,Mistral,f_ABC_empathetic_format_constraints,ABC,AB
Ra95618cf,7330,ChatGPT,v1_terse,V1,AB
R9da518db,7330,Mistral,v1_terse,V1,AB
R7c5dd354,7330,ChatGPT,v2_empathetic,V2 / A00,AB
Rbdc2c98a,7330,Mistral,v2_empathetic,V2 / A00,AB
R92b13c8b,7330,ChatGPT,v3_structured,V3,AB
R685da3d8,7330,Mistral,v3_structured,V3,AB
R756190eb,7330,ChatGPT,f_000_base,000,AB
R3796dd5d,7330,Mistral,f_000_base,000,AB
R33585de5,7330,ChatGPT,f_A0C_empathetic_constraints,A0C,AB
Re3d802b4,7330,Mistral,f_A0C_empathetic_constraints,A0C,AB
R6f61227e,7330,ChatGPT,f_ABC_empathetic_format_constraints,ABC,AB
R0696b681,7330,Mistral,f_ABC_empathetic_format_constraints,ABC,AB
Rc31b1258,4945,ChatGPT,v1_terse,V1,AB
R27271235,4945,Mistral,v1_terse,V1,AB
Rd33e1de2,4945,ChatGPT,v2_empathetic,V2 / A00,AB
R930eab2e,4945,Mistral,v2_empathetic,V2 / A00,AB
R3a64ea6f,4945,ChatGPT,v3_structured,V3,AB
R301e2949,4945,Mistral,v3_structured,V3,AB
R7e2f3c2a,4945,ChatGPT,f_000_base,000,AB
R389ef6f6,4945,Mistral,f_000_base,000,AB
Rc59cbdba,4945,ChatGPT,f_A0C_empathetic_constraints,A0C,AB
R60dde3d2,4945,Mistral,f_A0C_empathetic_constraints,A0C,AB
R52d58593,4945,ChatGPT,f_ABC_empathetic_format_constraints,ABC,AB
R27b7cfea,4945,Mistral,f_ABC_empathetic_format_constraints,ABC,AB
R8cc4ebcf,272,ChatGPT,v1_terse,V1,AB
R9ebb6aca,272,Mistral,v1_terse,V1,AB
R925b9d1d,272,ChatGPT,v2_empathetic,V2 / A00,AB
R32ab465d,272,Mistral,v2_empathetic,V2 / A00,AB
R003e26ee,272,ChatGPT,v3_structured,V3,AB
Rb1823776,272,Mistral,v3_structured,V3,AB
R660cb043,272,ChatGPT,f_000_base,000,AB
R4b2c09e2,272,Mistral,f_000_base,000,AB
R7d0bb074,272,ChatGPT,f_A0C_empathetic_constraints,A0C,AB
R7f437548,272,Mistral,f_A0C_empathetic_constraints,A0C,AB
Re628874f,272,ChatGPT,f_ABC_empathetic_format_constraints,ABC,AB
R86d66ea3,272,Mistral,f_ABC_empathetic_format_constraints,ABC,AB
R603f6887,9919,ChatGPT,v1_terse,V1,AB
R32befa56,9919,Mistral,v1_terse,V1,AB
R79aa0a16,9919,ChatGPT,v2_empathetic,V2 / A00,AB
Rc283b6c5,9919,Mistral,v2_empathetic,V2 / A00,AB
R50e9286a,9919,ChatGPT,v3_structured,V3,AB
R013af74c,9919,Mistral,v3_structured,V3,AB
Rb6b0945b,9919,ChatGPT,f_000_base,000,AB
R0d70ab23,9919,Mistral,f_000_base,000,AB
R4dd9ddbc,9919,ChatGPT,f_A0C_empathetic_constraints,A0C,AB
R89f5d91f,9919,Mistral,f_A0C_empathetic_constraints,A0C,AB
R0715428e,9919,ChatGPT,f_ABC_empathetic_format_constraints,ABC,AB
Rfbb4e563,9919,Mistral,f_ABC_empathetic_format_constraints,ABC,AB
R6ce274dc,2206,ChatGPT,v1_terse,V1,AB
R059ec75f,2206,Mistral,v1_terse,V1,AB
Re305322a,2206,ChatGPT,v2_empathetic,V2 / A00,AB
Rf5f6ba0a,2206,Mistral,v2_empathetic,V2 / A00,AB
R75b229f7,2206,ChatGPT,v3_structured,V3,AB
Rbf51709f,2206,Mistral,v3_structured,V3,AB
R06975140,2206,ChatGPT,f_000_base,000,AB
R5c2892e7,2206,Mistral,f_000_base,000,AB
R9978f50d,2206,ChatGPT,f_A0C_empathetic_constraints,A0C,AB
Rcd831819,2206,Mistral,f_A0C_empathetic_constraints,A0C,AB
Re97ef3ef,2206,ChatGPT,f_ABC_empathetic_format_constraints,ABC,AB
R9852ae47,2206,Mistral,f_ABC_empathetic_format_constraints,ABC,AB
Rf1d66a0c,5469,ChatGPT,v1_terse,V1,AB
R24ae7cfa,5469,Mistral,v1_terse,V1,AB
Rc9cea6ca,5469,ChatGPT,v2_empathetic,V2 / A00,AB
Raf0d0f2e,5469,Mistral,v2_empathetic,V2 / A00,AB
Rf209fe2a,5469,ChatGPT,v3_structured,V3,AB
R197ff3ce,5469,Mistral,v3_structured,V3,AB
R3431b8f0,5469,ChatGPT,f_000_base,000,AB
Rd800a97f,5469,Mistral,f_000_base,000,AB
Ra23fb6c1,5469,ChatGPT,f_A0C_empathetic_constraints,A0C,AB
Ra8427a75,5469,Mistral,f_A0C_empathetic_constraints,A0C,AB
R4f9948de,5469,ChatGPT,f_ABC_empathetic_format_constraints,ABC,AB
R3d428275,5469,Mistral,f_ABC_empathetic_format_constraints,ABC,AB
R6d4523fb,2318,ChatGPT,v1_terse,V1,AB
Rac1dbf15,2318,Mistral,v1_terse,V1,AB
R301e35eb,2318,ChatGPT,v2_empathetic,V2 / A00,AB
R47433ed4,2318,Mistral,v2_empathetic,V2 / A00,AB
R2d5d0373,2318,ChatGPT,v3_structured,V3,AB
Rbe9446f8,2318,Mistral,v3_structured,V3,AB
Rcee8ad11,2318,ChatGPT,f_000_base,000,AB
R524fb6df,2318,Mistral,f_000_base,000,AB
R229d7d0b,2318,ChatGPT,f_A0C_empathetic_constraints,A0C,AB
Rfc6d1a12,2318,Mistral,f_A0C_empathetic_constraints,A0C,AB
Ra47d858c,2318,ChatGPT,f_ABC_empathetic_format_constraints,ABC,AB
R93a64f40,2318,Mistral,f_ABC_empathetic_format_constraints,ABC,AB
Re0e1cf71,9277,ChatGPT,v1_terse,V1,AB
Rfa9f4c7a,9277,Mistral,v1_terse,V1,AB
R0ab38dad,9277,ChatGPT,v2_empathetic,V2 / A00,AB
R1756a323,9277,Mistral,v2_empathetic,V2 / A00,AB
R1293fb26,9277,ChatGPT,v3_structured,V3,AB
R82e6d4ba,9277,Mistral,v3_structured,V3,AB
R4df28f4b,9277,ChatGPT,f_000_base,000,AB
R6778a061,9277,Mistral,f_000_base,000,AB
R860d59ac,9277,ChatGPT,f_A0C_empathetic_constraints,A0C,AB
Rf5e3119b,9277,Mistral,f_A0C_empathetic_constraints,A0C,AB
R23dde0f2,9277,ChatGPT,f_ABC_empathetic_format_constraints,ABC,AB
R86b7bc01,9277,Mistral,f_ABC_empathetic_format_constraints,ABC,AB
