Variant,Metric,n pairs,ChatGPT mean,Mistral mean,Diff (ChatGPT - Mistral),Cohen d (paired),Test,p
V1 terse,Length (chars),10000,295.3695,282.6244,12.745100000000036,0.18656444794619031,Wilcoxon signed-rank,6.655820493476612e-117
V1 terse,Length (words),10000,45.2793,43.0415,2.2378,0.21657269952924274,Wilcoxon signed-rank,8.767161679183027e-137
V1 terse,Sentences,10000,2.0092,2.1706,-0.1614,-0.4129439885700885,Wilcoxon signed-rank,5.537666527482975e-164
V1 terse,VADER compound,10000,0.51790568,0.291764,0.22614168,0.3871431467768044,Wilcoxon signed-rank,1.159829643966626e-274
V1 terse,VADER positive share,10000,0.20874830000000003,0.1858733,0.022875000000000034,0.26509562268553155,Wilcoxon signed-rank,3.520328913067432e-142
V1 terse,VADER negative share,10000,0.0890932,0.1149864,-0.025893200000000005,-0.39506098772333675,Wilcoxon signed-rank,1.6292796493446524e-295
V1 terse,Flesch reading ease,10000,35.88915,39.388436999999996,-3.4992869999999954,-0.25122161807172955,Wilcoxon signed-rank,3.754372565881192e-124
V1 terse,Flesch-Kincaid grade,10000,13.8518,12.63903,1.2127700000000008,0.48110979598984643,Wilcoxon signed-rank,0.0
V1 terse,Latency (s),10000,0.888705,0.8042990000000001,0.08440599999999987,0.22671706130911085,Wilcoxon signed-rank,1.1218071454355125e-178
V1 terse,Completion tokens,10000,49.0758,52.4897,-3.413899999999998,-0.24469009721937585,Wilcoxon signed-rank,3.69612622289459e-80
V1 terse,Apology,10000,0.6965,0.6575,0.039000000000000035,,McNemar (exact),5.802016635284882e-15
V1 terse,Empathy / acknowledgement,10000,0.8124,0.7023,0.11009999999999998,,McNemar (exact),3.609172072777602e-86
V1 terse,Ownership,10000,0.3239,0.3703,-0.0464,,McNemar (exact),9.029706278027615e-13
V1 terse,Time-bound commitment,10000,0.0038,0.126,-0.1222,,McNemar (exact),0.0
V1 terse,Hedging,10000,0.0401,0.0637,-0.02360000000000001,,McNemar (exact),4.4118990676521195e-15
