Judge,pair_type,context,left,right,criterion,n,absolute_mean_diff,pairwise_left_share,same_direction,item_agreement
gpt-4.1,cell,ChatGPT,ChatGPT|000,ChatGPT|00C,overall,146,0.8666666666666667,1.0,True,0.7397260273972602
gpt-4.1,cell,ChatGPT,ChatGPT|000,ChatGPT|00C,concreteness,139,0.6133333333333333,0.9172661870503597,True,0.5971223021582733
gpt-4.1,cell,ChatGPT,ChatGPT|000,ChatGPT|00C,tone,146,0.4666666666666667,0.9794520547945206,True,0.5
gpt-4.1,cell,ChatGPT,ChatGPT|A00,ChatGPT|000,overall,97,0.47333333333333333,0.5876288659793815,True,0.4948453608247423
gpt-4.1,cell,ChatGPT,ChatGPT|A00,ChatGPT|000,concreteness,96,0.6333333333333333,0.5677083333333334,True,0.5416666666666666
gpt-4.1,cell,ChatGPT,ChatGPT|A00,ChatGPT|000,tone,114,0.0,0.36403508771929827,True,0.09649122807017543
gpt-4.1,cell,ChatGPT,ChatGPT|A00,ChatGPT|A0C,overall,86,0.04666666666666667,0.8197674418604651,True,0.27906976744186046
gpt-4.1,cell,ChatGPT,ChatGPT|A00,ChatGPT|A0C,concreteness,103,0.2,0.8106796116504854,True,0.5048543689320388
gpt-4.1,cell,ChatGPT,ChatGPT|A00,ChatGPT|A0C,tone,117,0.0,0.5726495726495726,False,0.4017094017094017
gpt-4.1,cell,ChatGPT,ChatGPT|A00,ChatGPT|V1,overall,134,0.7133333333333334,0.9626865671641791,True,0.753731343283582
gpt-4.1,cell,ChatGPT,ChatGPT|A00,ChatGPT|V1,concreteness,109,0.8,0.8211009174311926,True,0.7706422018348624
gpt-4.1,cell,ChatGPT,ChatGPT|A00,ChatGPT|V1,tone,135,0.09333333333333334,0.9518518518518518,True,0.1037037037037037
gpt-4.1,cell,ChatGPT,ChatGPT|A00,ChatGPT|V3,overall,114,-0.36,0.2982456140350877,True,0.3157894736842105
gpt-4.1,cell,ChatGPT,ChatGPT|A00,ChatGPT|V3,concreteness,118,-1.04,0.038135593220338986,True,0.923728813559322
gpt-4.1,cell,ChatGPT,ChatGPT|A00,ChatGPT|V3,tone,91,-0.013333333333333334,0.4725274725274725,True,0.02197802197802198
gpt-4.1,cell,ChatGPT,ChatGPT|A0C,ChatGPT|ABC,overall,131,-0.4533333333333333,0.03816793893129771,True,0.44274809160305345
gpt-4.1,cell,ChatGPT,ChatGPT|A0C,ChatGPT|ABC,concreteness,144,-1.3466666666666667,0.006944444444444444,True,0.9722222222222222
gpt-4.1,cell,ChatGPT,ChatGPT|A0C,ChatGPT|ABC,tone,103,-0.013333333333333334,0.4320388349514563,True,0.33980582524271846
gpt-4.1,cell,Mistral,Mistral|000,Mistral|00C,overall,140,0.4,0.9571428571428572,True,0.5142857142857142
gpt-4.1,cell,Mistral,Mistral|000,Mistral|00C,concreteness,138,0.7466666666666667,0.9492753623188406,True,0.6594202898550725
gpt-4.1,cell,Mistral,Mistral|000,Mistral|00C,tone,139,-0.02,0.7302158273381295,False,0.2805755395683453
gpt-4.1,cell,Mistral,Mistral|A00,Mistral|000,overall,101,-0.08,0.4752475247524752,True,0.44554455445544555
gpt-4.1,cell,Mistral,Mistral|A00,Mistral|000,concreteness,96,0.5733333333333334,0.5208333333333334,True,0.46875
gpt-4.1,cell,Mistral,Mistral|A00,Mistral|000,tone,123,-0.10666666666666667,0.17073170731707318,True,0.24390243902439024
gpt-4.1,cell,Mistral,Mistral|A00,Mistral|A0C,overall,78,-0.29333333333333333,0.7435897435897436,False,0.38461538461538464
gpt-4.1,cell,Mistral,Mistral|A00,Mistral|A0C,concreteness,85,0.04666666666666667,0.8176470588235294,True,0.5882352941176471
gpt-4.1,cell,Mistral,Mistral|A00,Mistral|A0C,tone,102,-0.14666666666666667,0.39705882352941174,True,0.4215686274509804
gpt-4.1,cell,Mistral,Mistral|A00,Mistral|V1,overall,120,0.3466666666666667,0.8833333333333333,True,0.55
gpt-4.1,cell,Mistral,Mistral|A00,Mistral|V1,concreteness,101,1.0066666666666666,0.8267326732673267,True,0.8316831683168316
gpt-4.1,cell,Mistral,Mistral|A00,Mistral|V1,tone,119,0.10666666666666667,0.6974789915966386,True,0.2773109243697479
gpt-4.1,cell,Mistral,Mistral|A00,Mistral|V3,overall,128,-0.4266666666666667,0.6015625,False,0.3046875
gpt-4.1,cell,Mistral,Mistral|A00,Mistral|V3,concreteness,96,-0.17333333333333334,0.5520833333333334,False,0.4583333333333333
gpt-4.1,cell,Mistral,Mistral|A00,Mistral|V3,tone,130,-0.16666666666666666,0.36923076923076925,True,0.16153846153846155
gpt-4.1,cell,Mistral,Mistral|A0C,Mistral|ABC,overall,100,-0.22,0.35,True,0.19
gpt-4.1,cell,Mistral,Mistral|A0C,Mistral|ABC,concreteness,97,-0.26,0.17525773195876287,True,0.3917525773195876
gpt-4.1,cell,Mistral,Mistral|A0C,Mistral|ABC,tone,104,-0.013333333333333334,0.3942307692307692,True,0.009615384615384616
gpt-4.1,model,000,ChatGPT|000,Mistral|000,overall,126,-0.36666666666666664,0.16666666666666666,True,0.48412698412698413
gpt-4.1,model,000,ChatGPT|000,Mistral|000,concreteness,127,-0.7866666666666666,0.1220472440944882,True,0.6850393700787402
gpt-4.1,model,000,ChatGPT|000,Mistral|000,tone,135,0.04666666666666667,0.46296296296296297,False,0.3925925925925926
gpt-4.1,model,A00,ChatGPT|A00,Mistral|A00,overall,103,0.18666666666666668,0.20388349514563106,False,0.3300970873786408
gpt-4.1,model,A00,ChatGPT|A00,Mistral|A00,concreteness,128,-0.7266666666666667,0.08203125,True,0.8203125
gpt-4.1,model,A00,ChatGPT|A00,Mistral|A00,tone,124,0.15333333333333332,0.6935483870967742,True,0.3225806451612903
gpt-4.1,model,A0C,ChatGPT|A0C,Mistral|A0C,overall,114,-0.15333333333333332,0.10526315789473684,True,0.2807017543859649
gpt-4.1,model,A0C,ChatGPT|A0C,Mistral|A0C,concreteness,129,-0.88,0.09689922480620156,True,0.875968992248062
gpt-4.1,model,A0C,ChatGPT|A0C,Mistral|A0C,tone,128,0.006666666666666667,0.5390625,True,0.421875
