contrast,feature,n,estimate,ci_lo,ci_hi,excludes_zero
ChatGPT - Mistral | V1,Length (chars),10000,12.7451,11.398575,14.068670000000001,True
ChatGPT - Mistral | V2,Length (chars),10000,60.1749,58.5665075,61.725407499999996,True
ChatGPT - Mistral | V3,Length (chars),10000,1.3435,-0.07697499999999999,2.7734449999999997,False
V2 - V1 | ChatGPT,Length (chars),10000,200.5325,199.1675675,201.915815,True
V3 - V1 | ChatGPT,Length (chars),10000,88.9839,87.84100000000001,90.070515,True
V3 - V2 | ChatGPT,Length (chars),10000,-111.5486,-112.944935,-110.170395,True
V2 - V1 | Mistral,Length (chars),10000,153.1027,151.4552775,154.8314,True
V3 - V1 | Mistral,Length (chars),10000,100.3855,98.8285425,102.00356,True
V3 - V2 | Mistral,Length (chars),10000,-52.7172,-54.357414999999996,-50.917795,True
ChatGPT - Mistral | V1,Sentences,10000,-0.1614,-0.1686025,-0.1540975,True
ChatGPT - Mistral | V2,Sentences,10000,1.1374,1.122685,1.1542024999999998,True
ChatGPT - Mistral | V3,Sentences,10000,-0.0014,-0.0035,0.0007,False
V2 - V1 | ChatGPT,Sentences,10000,2.6264,2.6132975000000003,2.639205,True
V3 - V1 | ChatGPT,Sentences,10000,0.9975,0.9951,1.0,True
V3 - V2 | ChatGPT,Sentences,10000,-1.6289,-1.6412,-1.6164975000000001,True
V2 - V1 | Mistral,Sentences,10000,1.3276,1.3154925,1.3399,True
V3 - V1 | Mistral,Sentences,10000,0.8375,0.8295,0.8456,True
V3 - V2 | Mistral,Sentences,10000,-0.4901,-0.5003025,-0.4797,True
ChatGPT - Mistral | V1,VADER compound,10000,0.22614167999999998,0.21449525524999996,0.23753813224999998,True
ChatGPT - Mistral | V2,VADER compound,10000,0.6740894700000001,0.6623348022500001,0.686198148,True
ChatGPT - Mistral | V3,VADER compound,10000,-0.23910953,-0.24805598374999996,-0.23010016875,True
V2 - V1 | ChatGPT,VADER compound,10000,0.09029762999999999,0.07947824699999999,0.10024868225,True
V3 - V1 | ChatGPT,VADER compound,10000,-0.63281255,-0.6436343674999999,-0.622410008,True
V3 - V2 | ChatGPT,VADER compound,10000,-0.72311018,-0.7344192257500001,-0.7129744155,True
V2 - V1 | Mistral,VADER compound,10000,-0.35765016,-0.3712872,-0.34338099325,True
V3 - V1 | Mistral,VADER compound,10000,-0.16756134,-0.17889338700000001,-0.15620187325,True
V3 - V2 | Mistral,VADER compound,10000,0.19008882,0.17612221374999998,0.20311140049999998,True
ChatGPT - Mistral | V1,FK grade,10000,1.2127700000000001,1.16238675,1.261981,True
ChatGPT - Mistral | V2,FK grade,10000,-1.1797,-1.21641425,-1.13857575,True
ChatGPT - Mistral | V3,FK grade,10000,0.08025,0.03851524999999997,0.12182349999999999,True
V2 - V1 | ChatGPT,FK grade,10000,-4.1227,-4.1578105,-4.08626225,True
V3 - V1 | ChatGPT,FK grade,10000,-2.84266,-2.8829810000000005,-2.80420975,True
V3 - V2 | ChatGPT,FK grade,10000,1.28004,1.2466100000000002,1.31728625,True
V2 - V1 | Mistral,FK grade,10000,-1.73023,-1.77633925,-1.6785705000000002,True
V3 - V1 | Mistral,FK grade,10000,-1.7101400000000002,-1.7647525000000002,-1.65910975,True
V3 - V2 | Mistral,FK grade,10000,0.02009000000000001,-0.029450749999999994,0.06797900000000001,False
ChatGPT - Mistral | V1,Apology,10000,0.039,0.0289,0.0488025,True
ChatGPT - Mistral | V2,Apology,10000,-0.034,-0.0378,-0.0302975,True
ChatGPT - Mistral | V3,Apology,10000,-0.0006,-0.0014,0.0,False
V2 - V1 | ChatGPT,Apology,10000,0.2671,0.2581,0.2758,True
V3 - V1 | ChatGPT,Apology,10000,-0.6962,-0.7058,-0.6868,True
V3 - V2 | ChatGPT,Apology,10000,-0.9633,-0.9670025,-0.9597,True
