Model,Variant,Reference,Feature,Variant mean,Reference mean,Diff,Paired d,p,n
ChatGPT,h_A00_hygiene,v2_empathetic,Salutation,0.0,0.5025008336112038,-0.5025008336112038,,0.0,2999
ChatGPT,h_A00_hygiene,v2_empathetic,Sign-off,0.14438146048682896,0.22540846948982995,-0.081027009003001,,3.330027626050356e-17,2999
ChatGPT,h_A00_hygiene,v2_empathetic,Leaves a [placeholder],0.0,0.4021340446815605,-0.4021340446815605,,0.0,2999
ChatGPT,h_A00_hygiene,v2_empathetic,Markdown,0.0,0.0,0.0,,1.0,2999
ChatGPT,h_A00_hygiene,v2_empathetic,Thanks the customer,0.41580526842280763,0.7762587529176392,-0.3604534844948316,,5.883383979040981e-200,2999
ChatGPT,h_A00_hygiene,v2_empathetic,Apology,0.8289429809936646,0.9646548849616539,-0.13571190396798932,,3.0905485304145592e-77,2999
ChatGPT,h_A00_hygiene,v2_empathetic,VADER compound,0.31109566522174054,0.6037380126708902,-0.29264234744914974,-0.49508331296041075,2.658281291752131e-149,2999
ChatGPT,h_A00_hygiene,v2_empathetic,Length (chars),444.405801933978,495.4714904968323,-51.065688562854284,-0.758027189714456,3.4929706981714556e-254,2999
ChatGPT,h_A00_hygiene,v2_empathetic,Sentences,3.9246415471823943,4.639213071023675,-0.7145715238412804,-1.0110042628923495,0.0,2999
ChatGPT,h_A00_hygiene,v2_empathetic,Ownership,0.9793264421473825,0.9806602200733577,-0.001333777925975325,,0.7807391284762681,2999
ChatGPT,h_A00_hygiene,v2_empathetic,Time-bound commitment,0.03401133711237079,0.06135378459486496,-0.027342447482494165,,2.443745604940707e-08,2999
ChatGPT,h_A00_hygiene,v2_empathetic,Echoes XXXX,0.001333777925975325,0.013337779259753251,-0.012004001333777926,,1.4933903003111482e-09,2999
Mistral,h_A00_hygiene,v2_empathetic,Salutation,0.0,0.006668889629876626,-0.006668889629876626,,1.9073486328125e-06,2999
Mistral,h_A00_hygiene,v2_empathetic,Sign-off,0.09736578859619874,0.057685895298432814,0.039679893297765924,,3.69047968980083e-10,2999
Mistral,h_A00_hygiene,v2_empathetic,Leaves a [placeholder],0.020340113371123708,0.15305101700566856,-0.13271090363454485,,2.732924174483156e-83,2999
Mistral,h_A00_hygiene,v2_empathetic,Markdown,0.0,0.0,0.0,,1.0,2999
Mistral,h_A00_hygiene,v2_empathetic,Thanks the customer,0.006335445148382794,0.07269089696565521,-0.06635545181727243,,2.978235410085173e-46,2999
Mistral,h_A00_hygiene,v2_empathetic,Apology,0.9259753251083694,0.9983327775925308,-0.07235745248416138,,5.222562260167889e-64,2999
Mistral,h_A00_hygiene,v2_empathetic,VADER compound,-0.19680353451150384,-0.06309233077692565,-0.13371120373457818,-0.21026263064036932,1.5223818388606546e-27,2999
Mistral,h_A00_hygiene,v2_empathetic,Length (chars),418.757585861954,435.27442480826943,-16.51683894631544,-0.21080807327240028,5.563887440199591e-28,2999
Mistral,h_A00_hygiene,v2_empathetic,Sentences,3.6112037345781927,3.496165388462821,0.1150383461153718,0.16790486640895333,4.8550459329306205e-18,2999
Mistral,h_A00_hygiene,v2_empathetic,Ownership,0.9769923307769256,0.9893297765921975,-0.012337445815271757,,0.00021890976301036633,2999
Mistral,h_A00_hygiene,v2_empathetic,Time-bound commitment,0.5298432810936979,0.6835611870623541,-0.15371790596865623,,3.155025748010719e-37,2999
Mistral,h_A00_hygiene,v2_empathetic,Echoes XXXX,0.003334444814938313,0.0053351117039013,-0.0020006668889629878,,0.28627872467041016,2999
