Model,Cell,Variant,n,Length (chars),Sentences,VADER compound,FK grade,Apology,Ownership,Time-bound commitment,Escalation,Asks for information,Thanks the customer,Leaves a [placeholder],Markdown,Hedging,Promises an outcome,All three labels present
ChatGPT,000,f_000_base,2999,556.7409136378793,5.012004001333778,0.9133443147715905,10.810436812270757,0.6432144048016005,0.49549849949983327,0.006002000666888963,0.08702900966988997,0.43981327109036344,0.8909636545515172,0.9513171057019006,0.0,0.11703901300433478,0.0010003334444814939,0.0
ChatGPT,00C,f_00C_constraints,2999,444.2260753584528,4.123707902634211,0.9011432144048017,10.793831277092362,0.04001333777925975,0.14838279426475492,0.0,0.0056685561853951315,0.1993997999333111,0.9933311103701233,0.14338112704234746,0.0,0.27775925308436145,0.0,0.0
ChatGPT,0B0,f_0B0_format,2999,389.0893631210403,3.006002000666889,-0.055397832610870286,11.05135045015005,0.00033344448149383126,0.9779926642214072,0.503834611537179,0.04701567189063021,0.028342780926975657,0.01833944648216072,0.09803267755918639,0.0010003334444814939,0.01633877959319773,0.0,0.9973324441480493
ChatGPT,0BC,f_0BC_format_constraints,2999,376.0050016672224,3.008336112037346,-0.03423177725908636,10.812170723574523,0.0,0.9759919973324441,0.6468822940980327,0.02400800266755585,0.0106702234078026,0.0213404468156052,0.03167722574191397,0.001333777925975325,0.024341447149049684,0.0,0.9953317772590864
ChatGPT,A00,v2_empathetic,2999,495.4714904968323,4.639213071023675,0.6037380126708903,9.711337112370792,0.9646548849616539,0.9806602200733577,0.06135378459486496,0.5088362787595865,0.0053351117039013,0.7762587529176392,0.4021340446815605,0.0,0.020673557852617538,0.0010003334444814939,0.0
ChatGPT,A0C,f_A0C_empathetic_constraints,2999,457.7959319773258,4.339113037679226,0.607448449483161,9.599199733244415,0.8962987662554185,0.9699899966655552,0.002334111370456819,0.6292097365788596,0.0030010003334444814,0.768922974324775,0.2474158052684228,0.0,0.03901300433477826,0.0,0.0
ChatGPT,AB0,f_AB0_empathetic_format,2999,426.43447815938646,3.175391797265755,-0.1824885295098366,11.250116705568523,0.050016672224074694,0.9913304434811604,0.6905635211737245,0.4104701567189063,0.001333777925975325,0.08936312104034679,0.03067689229743248,0.038012670890296765,0.012337445815271757,0.0006668889629876625,0.9933311103701233
ChatGPT,ABC,f_ABC_empathetic_format_constraints,2999,403.6228742914305,3.058686228742914,-0.25992840946982326,11.044614871623876,0.012670890296765588,0.9939979993331111,0.6208736245415138,0.4851617205735245,0.00266755585195065,0.03601200400133378,0.006668889629876626,0.02334111370456819,0.019673224408136045,0.0,0.9956652217405801
Mistral,000,f_000_base,2999,482.41947315771927,4.495831943981327,0.6492112370790264,10.744781593864621,0.7862620873624542,0.5161720573524509,0.3357785928642881,0.217405801933978,0.42280760253417804,0.7222407469156386,0.22074024674891632,0.06568856285428476,0.15905301767255753,0.006335445148382794,0.0
Mistral,00C,f_00C_constraints,2999,358.3824608202734,4.110036678892964,0.7456010670223409,9.24161387129043,0.13837945981994,0.46115371790596865,0.030010003334444816,0.09036345448482827,0.1663887962654218,0.9826608869623208,0.030343447815938646,0.0,0.108702900966989,0.0,0.0
Mistral,0B0,f_0B0_format,2999,448.45481827275756,3.022007335778593,0.14739583194398131,12.136145381793932,0.0006668889629876625,0.976325441813938,0.9583194398132711,0.2614204734911637,0.4208069356452151,0.0,0.1843947982660887,0.9139713237745916,0.09303101033677892,0.00266755585195065,1.0
Mistral,0BC,f_0BC_format_constraints,2999,362.8496165388463,3.006002000666889,0.14184508169389798,10.495231743914639,0.00033344448149383126,0.9876625541847283,0.9253084361453818,0.2110703567855952,0.25008336112037344,0.0,0.14538179393131043,0.32877625875291766,0.06768922974324774,0.0,1.0
Mistral,A00,v2_empathetic,2999,435.27442480826943,3.496165388462821,-0.06309233077692564,10.890163387795932,0.9983327775925308,0.9893297765921975,0.6835611870623541,0.6938979659886629,0.006335445148382794,0.07269089696565521,0.15305101700566856,0.0,0.016672224074691565,0.004668222740913638,0.0
Mistral,A0C,f_A0C_empathetic_constraints,2999,394.7185728576192,3.2564188062687562,-0.06905945315105035,10.501333777925975,0.9956652217405801,0.9816605535178393,0.42914304768256084,0.5791930643547849,0.00266755585195065,0.09003001000333445,0.06135378459486496,0.0,0.019339779926642216,0.0,0.0
Mistral,AB0,f_AB0_empathetic_format,2999,410.1333777925975,3.012004001333778,-0.1961126708902968,11.058486162054018,0.19439813271090364,0.9966655551850617,0.7535845281760587,0.4338112704234745,0.0010003334444814939,0.0,0.06468822940980327,0.4811603867955985,0.024341447149049684,0.008669556518839614,1.0
Mistral,ABC,f_ABC_empathetic_format_constraints,2999,384.67889296432145,3.009669889963321,-0.1891548182727576,10.419573191063687,0.10703567855951984,0.9993331110370124,0.6765588529509836,0.48982994331443813,0.002334111370456819,0.0016672224074691564,0.05468489496498833,0.2494164721573858,0.028342780926975657,0.0006668889629876625,1.0
